product_name,product_brand,product_rating,verified_ratings,items_left,current_price,previous_price,discount
"Redmi 9A - 6.53-inches (2GB RAM, 32GB ROM) - Android 10 - Dual Sim - 4G LTE - 13MP + 5MP Selfie - 5000mAh -EU Peacock Green",XIAOMI,4.6 out of 5,(12 verified ratings),30 items left,"₦ 47,810","₦ 54,990",13%
3 In 1 64GB OTG USB Flash Drive  For Type C PC Android Black,YingHD,4.2 out of 5,(30 verified ratings),30 items left,"₦ 2,690","₦ 5,275",49%
Double Door Top Mount Fridge 70L Sliver,Skyrun,4 out of 5,(617 verified ratings),24 items left,"₦ 73,520","₦ 149,000",51%
Wireless Fingerprint Touch Bluetooth Earphone Headset With Power Display,Winwolf,4 out of 5,(1225 verified ratings),30 items left,"₦ 3,240","₦ 6,471",50%
Smart Watch 1.69'' IPS Screen IP68 Waterproof,Oraimo,4.3 out of 5,(947 verified ratings),30 items left,"₦ 14,500","₦ 33,725",57%
M6 Wireless Foldable Headset Macarons Heavy Bass Bluetooth Gaming Headphone-Blue,,4.3 out of 5,(40 verified ratings),28 items left,"₦ 2,400","₦ 4,873",51%
2160 Dual Sim Feature Phone - Black,Itel,4.4 out of 5,(112 verified ratings),567 items left,"₦ 5,200","₦ 6,250",17%
138-Litres Double Door Top Mount Fridge BCD-145A-INOX,Skyrun,4.3 out of 5,(349 verified ratings),17 items left,"₦ 113,530","₦ 233,314",51%
2160 Dual Sim Feature Phone - Blue,Itel,4.3 out of 5,(163 verified ratings),467 items left,"₦ 5,200","₦ 6,250",17%
Button Designed Long Sleeve T-Shirt- Yellow,Danami,4.1 out of 5,(1346 verified ratings),20 items left,"₦ 3,370 - ₦ 3,800","₦ 3,900",14%
"2173 - 1.77"" -Dual Sim Phone - 1000mAh? - Black",Itel,4.3 out of 5,(293 verified ratings),941 items left,"₦ 5,500","₦ 6,630",17%
"105 Dual Sim, 1.77"" TFT Screen, 4MB/4MB Memory, 800 mAh Battery - Charcoal Black - Africa Edition",Nokia,0 out of 5,(No ratings available),109 items left,"₦ 7,393","₦ 9,410",21%
653 Black Ink Cartridge - 3YM75AE,Hp,4.4 out of 5,(5 verified ratings),14 items left,"₦ 8,200","₦ 9,600",15%
655 Black  Ink Advantage Cartridge - CZ109AE BHL,Hp,5 out of 5,(5 verified ratings),4 items left,"₦ 8,800","₦ 10,200",14%
216A Magenta Toner - W2413A,Hp,0 out of 5,(No ratings available),5 items left,"₦ 30,600","₦ 35,700",14%
Wireless Mouse 200 - X6W31AA#ABB,Hp,1 out of 5,(1 verified rating),10 items left,"₦ 7,200","₦ 10,500",31%
58MM Bluetooth Thermal Printer Portable Receipt Machine,Goojprt,4.2 out of 5,(34 verified ratings),30 items left,"₦ 12,000","₦ 23,529",49%
58MM Bluetooth Thermal Printer Portable Receipt Machine,Goojprt,4.3 out of 5,(33 verified ratings),30 items left,"₦ 12,000","₦ 23,529",49%
T17 Bluetooth Earphones True Wireless Earbuds BT5.1 HIFI,Qcy,4.1 out of 5,(8 verified ratings),27 items left,"₦ 5,430 - ₦ 5,530","₦ 12,157",55%
64GB Ultra OTG Micro Tapy-c Lightning USB 4 In 1 Flash Drive,MOVFA,4.3 out of 5,(172 verified ratings),14 items left,"₦ 6,400","₦ 12,500",49%
Portable Bluetooth Speaker X8 60W HIFI Super Bass Subwoofer,Xdobo,4.8 out of 5,(36 verified ratings),28 items left,"₦ 17,600 - ₦ 18,345","₦ 35,971",51%
M30 Rechargeable Wireless Mouse 2.4GHz Mice,Hxsj,4.5 out of 5,(280 verified ratings),25 items left,"₦ 3,200","₦ 6,275",49%
Renewed  -  Apple IPhone 6 1GB RAM+16GB ROM - Silver,Apple,4.3 out of 5,(9 verified ratings),30 items left,"₦ 43,930","₦ 90,196",51%
3.4A Dual USB Car BT5.0 FM MP3/WMA/APE/FLAC/WAV Car Music Player Radio Adapter,,4.4 out of 5,(67 verified ratings),26 items left,"₦ 2,500","₦ 5,471",54%
"Redmi Watch 2 Lite, 1.55"" TFT Screen, Water Resistant, GPS, 262 mAh Battery - Black",XIAOMI,4 out of 5,(1 verified rating),16 items left,"₦ 28,600","₦ 36,299",21%
UPS 653KVA  Elite Pro Backup,Blue Gate,4.2 out of 5,(167 verified ratings),22 items left,"₦ 14,800","₦ 16,940",13%
"2173 Facebook, FM, Opera Mini Torch, Dual SIM Phone - Blue",Itel,4.3 out of 5,(173 verified ratings),27 items left,"₦ 6,400","₦ 7,801",18%
3.5mm AUX Vehicle BT Receiver 2-in-1 BT 5.0 Audio Adapter,,4.1 out of 5,(82 verified ratings),24 items left,"₦ 2,400","₦ 5,392",55%
64GB High Speed USB 2.0 Flash Disk Drivers Silver,Ace Elec,4.1 out of 5,(54 verified ratings),24 items left,"₦ 2,400","₦ 6,078",61%
Digital Tire Gauge Tyre Tire Air Pump Pressure Tester,,4.3 out of 5,(33 verified ratings),30 items left,"₦ 2,100","₦ 4,118",49%
KM901 Keyboard Mouse Combo 2.4G Wireless 78 Key,,4.4 out of 5,(230 verified ratings),19 items left,"₦ 4,100","₦ 9,027",55%
Bluetooth Earphone Sound Touch Sensor Control For Android & IOS,,4 out of 5,(226 verified ratings),23 items left,"₦ 2,400","₦ 4,900",51%
118 Litres Double Door Top Mount Fridge BCD-118HC Sliver,Skyrun,4.2 out of 5,(223 verified ratings),30 items left,"₦ 100,540","₦ 203,902",51%
XT90 BT 5.0 Earphones Headphones Wireless Headsets ,Lenovo,4.1 out of 5,(118 verified ratings),30 items left,"₦ 4,790","₦ 9,392",49%
New Men's Tide Sneakers Soft Mesh Casual Walking Sport Shoes-BL86-Kaki,,4.5 out of 5,(4 verified ratings),6 items left,"₦ 2,525 - ₦ 2,915","₦ 9,990",75%
U05 Male Student Underwear Boxer Briefs Multicolor-4 In 1,VEJARO,4.5 out of 5,(20 verified ratings),6 items left,"₦ 2,265","₦ 9,800",77%
